id;MEGNEVEZES;MERTEKEGYSEG;sorszam;MEGNEVEZES2;TARTOMANYLEIRAS;kapcsolat
1;páciens neme;NULL;0;nő;;m2,m3,m4
1;páciens neme;NULL;1;férfi;;
1;páciens neme;NULL;2;ismeretlen;;m5,m9,m8
2;életkor;Év;0;ismeretlen;;
3;testmagasság;cm;0;ismeretlen;;
4;testtömeg;Kg;0;ismeretlen;;
5;haskörfogat;cm;0;ismeretlen;;
6;Dohányzik?;NULL;0;nem;NULL;
6;Dohányzik?;NULL;1;igen;;
6;Dohányzik?;NULL;2;nem ismert;;
7;Vérnyomás felső (Systolés);Hgmm;0;ismeretlen;;
8;Vérnyomás alsó (Diastolés);Hgmm;0;ismeretlen;;
9;Vérnyomás gyógyszerrel kezelve?;NULL;0;nem;;
9;Vérnyomás gyógyszerrel kezelve?;NULL;1;igen;;
9;Vérnyomás gyógyszerrel kezelve?;NULL;2;nem ismert;NULL;
10;Össz koleszterinszint;mmol/l;0;ismeretlen;;
11;HDL koleszterinszint;mmol/l;0;ismeretlen;;
12;Megmért LDL koleszterinszint;mmol/l;0;ismeretlen;;
13;Triglicerid;mmol/l;0;ismeretlen;;
14;Vércukorszint;mmol/l;0;ismeretlen;;
15;Koszorúér betegsége volt-e?;NULL;0;nem;NULL;
15;Koszorúér betegsége volt-e?;NULL;1;igen;NULL;
15;Koszorúér betegsége volt-e?;NULL;2;nem ismert;NULL;
16;Érszűkületi betgsége volt-e?;NULL;0;nem;NULL;
16;Érszűkületi betgsége volt-e?;NULL;1;igen;NULL;
16;Érszűkületi betgsége volt-e?;NULL;2;nem ismert;NULL;
17;agyér betegsége volt-e?;NULL;0;nem;NULL;
17;agyér betegsége volt-e?;NULL;1;igen;NULL;
17;agyér betegsége volt-e?;NULL;2;nem ismert;NULL;
18;2-es típusú cukorbeteg-e?;NULL;0;nem;NULL;
18;2-es típusú cukorbeteg-e?;NULL;1;igen;;
18;2-es típusú cukorbeteg-e?;NULL;2;nem ismert;NULL;
19;1-es típusú cukorbeteg-e?;NULL;0;nem;NULL;
19;1-es típusú cukorbeteg-e?;NULL;1;igen;;
19;1-es típusú cukorbeteg-e?;NULL;2;nem ismert;NULL;
20;Ismert-e koleszterin betegsége?;NULL;0;nem;NULL;
