csúcsid;alcsúcsid;kapcsolat
m1;0;m1,m24,m25,m63,m70,m86,m219,m264,m283,m321,m342,m501,m760,m761,m1019,m1020,m1046,m320,m1015,m1016,m1030,m1031,m1032,m82,m97,m1064,m714,m1011,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m1008,m1048,m1033,m79,m80,m98,m201,m83,m265,m1039,m1051,m1052,m2001,m1066,m1012,m1022,m1037,m1049,m1014,m1038,m1050,m1054,m2002,m1041,
m1;1;m1,m24,m25,m63,m70,m86,m219,m264,m283,m321,m342,m501,m760,m761,m1019,m1020,m1046,m320,m1015,m1016,m1030,m1031,m1032,m82,m97,m1064,m714,m1011,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m1008,m1048,m1033,m79,m80,m98,m201,m83,m265,m1039,m1051,m1052,m2001,m1066,m1012,m1022,m1037,m1049,m1014,m1038,m1050,m1054,m2002,m1041,
m1;2;m1,m24,m25,m63,m70,m86,m219,m264,m283,m321,m342,m501,m760,m761,m1019,m1020,m1046,m320,m1015,m1016,m1030,m1031,m1032,m82,m97,m1064,m714,m1011,m1021,m1023,m1047,m1062,m1065,m1068,m1069,m81,m1008,m1048,m1033,m79,m80,m98,m201,m83,m265,m1039,m1051,m1052,m2001,m1066,m1012,m1022,m1037,m1049,m1014,m1038,m1050,m1054,m2002,m1041,
m2;0;m2,m24,m25,m84,m97,m217,m264,m270,m321,m502,m564,m760,m1004,m1007,m1055,m1057,m1058,m1072,m2001,m2117,m320,m1015,m1016,m1030,m1031,m1032,m98,m201,m714,m2002,m1033,
m3;0;m3,m28,m279,m287,m289,m290,m503,m85,m97,m282,m1025,m714,m98,m201,m78,m1011,m1016,m1063,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m4;0;m4,m28,m280,m281,m504,m565,m85,m97,m282,m1025,m266,m283,m761,m714,m98,m201,m78,m1011,m1016,m1063,m264,m760,m1064,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m5;0;m5,m86,m97,m279,m284,m286,m287,m505,m1019,m1069,m98,m201,m285,m714,m1011,m1016,m1021,m1023,m1047,m1062,m1065,m1068,m219,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1066,m79,m80,m1015,m1014,m1038,m1050,m1054,m1049,m2002,m320,
m6;0;m6,m24,m25,m81,m300,m304,m305,m306,m307,m310,m311,m312,m313,m321,m386,m415,m506,m1012,m1014,m1016,m1021,m1042,m1048,m2001,m320,m1015,m1030,m1031,m1032,m79,m80,m714,m1033,m1049,m2002,
m6;1;m6,m24,m25,m81,m300,m304,m305,m306,m307,m310,m311,m312,m313,m321,m386,m415,m506,m1012,m1014,m1016,m1021,m1042,m1048,m2001,m320,m1015,m1030,m1031,m1032,m79,m80,m714,m1033,m1049,m2002,
m6;2;m6,m24,m25,m81,m300,m304,m305,m306,m307,m310,m311,m312,m313,m321,m386,m415,m506,m1012,m1014,m1016,m1021,m1042,m1048,m2001,m320,m1015,m1030,m1031,m1032,m79,m80,m714,m1033,m1049,m2002,
m7;0;m7,m24,m25,m32,m308,m309,m314,m315,m321,m507,m687,m689,m1010,m1028,m1029,m2002,m320,m1015,m1016,m1030,m1031,m1032,m77,m217,m1001,m1021,m1056,m714,m78,m83,m265,m1012,m1018,m1022,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m1060,m1063,m1064,m1068,m1033,m99,m1006,m1014,m317,m1023,m1038,m1047,m1050,m1054,m1049,m1066,m1042,
m8;0;m8,m32,m508,m689,m1010,m1028,m1029,m2002,m77,m217,m1001,m1016,m1021,m1056,m714,m78,m83,m265,m1012,m1018,m1022,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m1060,m1063,m1064,m1068,m99,m1006,m1014,m1033,m317,m1023,m1038,m1047,m1050,m1054,m1049,m1066,m1015,m1042,m320,
m9;0;m9,m25,m509,m1036,m1053,m1032,m714,
m9;1;m9,m25,m509,m1036,m1053,m1032,m714,
m9;2;m9,m25,m509,m1036,m1053,m1032,m714,
m10;0;m10,m24,m25,m29,m321,m510,m1024,m1045,m1067,m1070,m320,m1015,m1016,m1030,m1031,m1032,m30,m714,m2002,m78,m81,m265,m1008,m1018,m1048,m1063,m1064,m1065,m1062,m1033,m530,m1027,m317,m79,m80,m1012,m1021,m1022,m1037,m1049,m1066,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,
m11;0;m11,m46,m446,m546,m1020,m25,m29,m714,m81,m1008,m1048,m1032,m30,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m530,m1027,m2002,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m12;0;m12,m30,m1027,m530,m2002,m81,m1008,m1048,m714,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m13;0;m13,m48,m448,m548,m1026,m29,m714,m1008,m1048,m30,m1012,m1021,m1022,m1037,m1049,m530,m1027,m2002,m83,m1041,m1051,m1052,m81,m1014,m1023,m1038,m1047,m1050,m1054,m79,m80,m1015,m1016,m320,m1033,
m14;0;m14,m293,m514,m1009,m1034,m1035,m1059,m1071,m1063,m1064,m714,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m1043,m1044,m1062,m1065,m1068,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m1066,m320,m1016,m209,m1015,m1033,
m15;0;m15,m23,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m15;1;m15,m23,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m15;2;m15,m23,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m16;0;m16,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
